Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Total Rooms
Airport West,6 Kittyhawk St,4,h,773000,S,Brad,17/09/2016,13.5,3042,5,3,4,531,309,1980,Moonee Valley City Council,-37.7263,144.8679,Western Metropolitan,3464,8
Alphington,83 Fulham Rd,5,h,2840000,S,Nelson,12/06/2016,6.4,3078,5,4,4,809,165,1910,Darebin City Council,-37.775,145.0268,Northern Metropolitan,2211,9
Altona,59 Bracken Gr,5,h,1525000,S,Greg,3/12/2016,13.8,3018,5,3,3,729,268,2005,Hobsons Bay City Council,-37.8721,144.8105,Western Metropolitan,5301,8
Altona North,45 Hearn St,5,h,1085000,S,FN,3/09/2016,11.1,3025,5,3,6,592,251,1965,Hobsons Bay City Council,-37.8388,144.8567,Western Metropolitan,5132,8
Altona North,1/156 Chambers Rd,3,h,620000,SP,Hunter,22/08/2016,11.1,3025,5,2,2,276,100,2010,Hobsons Bay City Council,-37.8262,144.8443,Western Metropolitan,5132,7
Armadale,367 Dandenong Rd,6,h,5525000,S,Marshall,17/09/2016,6.3,3143,5,3,4,1491,516,1935,Stonnington City Council,-37.8602,145.013,Southern Metropolitan,4836,8
Ashburton,29A Yuile St,5,h,3510000,S,Jellis,18/03/2017,11,3147,5,5,2,755,444,2015,Boroondara City Council,-37.8598,145.0796,Southern Metropolitan,3052,10
Ashburton,48 Nicholas St,5,h,1600000,S,Marshall,27/11/2016,11,3147,5,3,4,700,266,1950,Boroondara City Council,-37.8724,145.0758,Southern Metropolitan,3052,8
Ashwood,16 Scenic Dr,5,h,1529500,S,Buxton,17/09/2016,12.2,3147,5,3,2,585,317,2000,Monash City Council,-37.8637,145.1024,Southern Metropolitan,2894,8
Balwyn,112 Belmore Rd,5,h,2570000,PI,RT,3/12/2016,9.7,3103,5,3,2,715,420,2009,Boroondara City Council,-37.8028,145.0768,Southern Metropolitan,5682,8
Balwyn,4 Melba Ct,5,h,3250000,PI,hockingstuart,3/12/2016,9.7,3103,5,5,2,651,410,,Boroondara City Council,-37.8071,145.0908,Southern Metropolitan,5682,10
Balwyn,22 Yongala St,5,h,2250000,PI,Noel,3/12/2016,9.7,3103,5,3,2,600,356,2006,Boroondara City Council,-37.8061,145.0801,Southern Metropolitan,5682,8
Balwyn,40 Metung St,5,h,2800000,VB,Marshall,4/06/2016,9.7,3103,5,3,2,678,349,2001,Boroondara City Council,-37.8048,145.0708,Southern Metropolitan,5682,8
Balwyn,49 Metung St,5,h,3400000,VB,Jellis,18/06/2016,9.7,3103,5,6,4,739,502,,Boroondara City Council,-37.8039,145.0714,Southern Metropolitan,5682,11
Balwyn,112 Belmore Rd,5,h,3020000,PI,Jellis,28/05/2016,9.7,3103,5,3,2,715,420,2009,Boroondara City Council,-37.8028,145.0768,Southern Metropolitan,5682,8
Balwyn North,3 Dumblane St,5,h,3300000,PI,hockingstuart,3/12/2016,9.2,3104,5,4,2,760,477,2015,Boroondara City Council,-37.7907,145.0907,Southern Metropolitan,7809,9
Balwyn North,108 Bulleen Rd,5,h,1750000,VB,Jellis,7/11/2016,9.2,3104,5,3,2,705,365,2013,Boroondara City Council,-37.7851,145.0775,Southern Metropolitan,7809,8
Balwyn North,23a The Boulevard,5,h,2200000,VB,Noel,12/06/2016,9.2,3104,5,3,2,900,355,1955,Boroondara City Council,-37.7868,145.0677,Southern Metropolitan,7809,8
Balwyn North,2 Tudor Ct,7,h,2600000,PI,Barry,14/05/2016,9.2,3104,5,3,3,637,529,2008,Boroondara City Council,-37.7898,145.0967,Southern Metropolitan,7809,8
Balwyn North,14 Dumblane St,5,h,1750000,PI,RW,15/10/2016,9.2,3104,5,2,2,710,170,1955,Boroondara City Council,-37.7907,145.0916,Southern Metropolitan,7809,7
Balwyn North,64 Greythorn Rd,5,h,2000000,S,Fletchers,15/10/2016,9.2,3104,5,2,2,1002,244,1950,Boroondara City Council,-37.796,145.0984,Southern Metropolitan,7809,7
Balwyn North,9 Stephens St,5,h,4000000,PI,Marshall,18/06/2016,9.2,3104,5,5,4,1364,518,2013,Boroondara City Council,-37.7961,145.0859,Southern Metropolitan,7809,10
Balwyn North,430 Balwyn Rd,5,h,1875000,PI,Fletchers,27/06/2016,9.2,3104,5,3,2,842,200,1961,Boroondara City Council,-37.7854,145.0869,Southern Metropolitan,7809,8
Balwyn North,23A The Boulevard,5,h,1920000,S,Marshall,27/11/2016,9.2,3104,5,3,2,900,355,1955,Boroondara City Council,-37.7868,145.0677,Southern Metropolitan,7809,8
